Site,Data,Source,Date,Season,O18,D,D_EX
Big,Wood,C aqifer,11/12/2017,Winter,-13.44418864,-97.19035536,10.36315376
Big,Wood,C aqifer,12/18/2017,Winter,-13.60828825,-97.40358395,11.46272205
Big,Wood,C aqifer,3/16/2018,Spring,-13.47322568,-96.91775239,10.86805305
Big,Wood,C aqifer,4/7/2018,Spring,-13.30734749,-97.97955005,8.47922987
Big,Wood,C aqifer,4/7/2018,Spring,-13.30734749,-97.97955005,8.47922987
Big,Wood,C aqifer,4/19/2018,Spring,-14.11841903,-97.84439484,15.1029574
Big,Wood,C aqifer,5/25/2018,Summer,-12.95363826,-97.68717525,5.94193083
Big,Wood,C aqifer,6/25/2018,Summer,-13.30934361,-95.39963843,11.07511045
Big,Wood,C aqifer,7/12/2018,Summer,-13.72476837,-97.98358501,11.81456195
Big,Wood,C aqifer,7/12/2018,Summer,-13.72476837,-97.98358501,11.81456195
Big,Wood,C aqifer,7/13/2018,Summer,-13.50515133,-97.39101945,10.65019119
Big,Wood,C aqifer,7/14/2018,Summer,-13.58420731,-97.02749851,11.64615997
Big,Wood,C aqifer,7/14/2018,Summer,-13.58420731,-97.02749851,11.64615997
Big,Wood,C aqifer,8/4/2018,Autumn,-13.15600886,-99.7457801,5.50229078
Big,Wood,C aqifer,8/5/2018,Autumn,-13.55120878,-98.82949732,9.58017292
Big,Wood,C aqifer,8/31/2018,Autumn,-13.51643552,-97.34169338,10.78979078
Big,Wood,C aqifer,9/1/2018,Autumn,-13.2433363,-97.81435429,8.13233611
Big,Wood,C aqifer,9/2/2018,Autumn,-12.96919652,-97.13539239,6.61817977
Big,Wood,C aqifer,10/7/2018,Autumn,-13.64011166,-97.61703216,11.50386112
Big,Wood,C aqifer,10/13/2018,Autumn,-14.30650554,-98.05582681,16.39621751
Big,Wood,C aqifer,10/14/2018,Autumn,-13.96888476,-97.6702132,14.08086488
Big,Wood,C aqifer,11/9/2018,Winter,-13.62338177,-97.67832018,11.30873398
Big,Wood,C aqifer,11/12/2018,Winter,-14.03266503,-97.87096657,14.39035367
Big,Wood,C aqifer,12/15/2018,Winter,-14.38179612,-98.26494193,16.78942703
Big,Wood,C aqifer,12/16/2018,Winter,-13.90248875,-97.72575803,13.49415197
Mangum,Wood,C aqifer,12/18/2017,Winter,-13.64254077,-98.2331155,10.90721066
Mangum,Wood,C aqifer,4/7/2018,Spring,-13.35963548,-97.18088565,9.69619819
Mangum,Wood,C aqifer,4/7/2018,Spring,-13.29966305,-95.66226135,10.73504305
Mangum,Wood,C aqifer,4/19/2018,Spring,-12.89730946,-94.55395611,8.62451957
Mangum,Wood,C aqifer,5/25/2018,Summer,-12.86093572,-95.91365573,6.97383003
Mangum,Wood,C aqifer,6/25/2018,Summer,-12.69457994,-93.443021,8.11361852
Mangum,Wood,C aqifer,7/14/2018,Summer,-12.94348896,-94.68853659,8.85937509
Mangum,Wood,C aqifer,8/4/2018,Autumn,-13.14138478,-94.52397274,10.6071055
Mangum,Wood,C aqifer,9/1/2018,Autumn,-13.11011175,-93.63486344,11.24603056
Mangum,Wood,C aqifer,10/14/2018,Autumn,-13.13388584,-94.16567997,10.90540675
Mangum,Wood,C aqifer,11/9/2018,Winter,-13.193832,-94.18522799,11.36542801
Mangum,Wood,C aqifer,12/15/2018,Winter,-13.08181282,-95.57706105,9.07744151
Nail,Wood,C aqifer,4/7/2018,Spring,-13.29966305,-95.66226135,10.73504305
Nail,Wood,C aqifer,5/25/2018,Summer,-12.86093572,-95.91365573,6.97383003
Nail,Wood,C aqifer,6/26/2018,Summer,-12.89475725,-95.55128815,7.60676985
Nail,Wood,C aqifer,8/5/2018,Autumn,-13.0842984,-95.68818732,8.98619988
Nail,Wood,C aqifer,8/31/2018,Autumn,-13.30162045,-95.4410332,10.9719304
Nail,Wood,C aqifer,10/14/2018,Autumn,-14.31399258,-95.87621641,18.63572423
Nail,Wood,C aqifer,11/9/2018,Winter,-13.67860552,-95.44887279,13.97997137
Nail,Wood,C aqifer,12/15/2018,Winter,-12.89344676,-94.99705019,8.15052389
Robbers Roost,Wood,C aqifer,9/24/2017,Autumn,-13.19996144,-92.00384575,13.59584577
Robbers Roost,Wood,C aqifer,11/14/2017,Winter,-13.44202825,-91.54445148,15.99177452
Robbers Roost,Wood,C aqifer,8/6/2018,Autumn,-12.24477032,-84.30865248,13.64951008
Robbers Roost,Wood,C aqifer,9/2/2018,Autumn,-12.72709269,-87.0915592,14.72518232
Robbers Roost,Wood,C aqifer,10/14/2018,Autumn,-13.21424459,-91.59371455,14.12024217
Robbers Roost,Wood,C aqifer,11/9/2018,Winter,-12.22093428,-88.08242623,9.68504801
Robbers Roost,Wood,C aqifer,11/11/2018,Winter,-13.2308088,-89.29834844,16.54812196
Robbers Roost,Wood,C aqifer,12/15/2018,Winter,-12.64844521,-90.7809191,10.40664258
Castle,Wood,C aqifer,11/12/2017,Winter,-13.39701534,-96.52719962,10.6489231
Castle,Wood,C aqifer,12/18/2017,Winter,-13.479375,-96.90904535,10.92595465
Castle,Wood,C aqifer,4/8/2018,Spring,-13.168492,-96.76305339,8.58488261
Castle,Wood,C aqifer,5/25/2018,Summer,-12.95724331,-97.49907109,6.15887539
Castle,Wood,C aqifer,6/25/2018,Summer,-13.45226176,-96.53517572,11.08291836
Castle,Wood,C aqifer,7/12/2018,Summer,-13.27599211,-97.3177021,8.89023478
Castle,Wood,C aqifer,8/4/2018,Autumn,-14.01054306,-97.73344236,14.35090212
Castle,Wood,C aqifer,8/31/2018,Autumn,-14.05107443,-98.38308952,14.02550592
Castle,Wood,C aqifer,10/6/2018,Autumn,-13.6524656,-97.34841397,11.87131083
Castle,Wood,C aqifer,10/14/2018,Autumn,-13.73071081,-99.24490348,10.600783
Castle,Wood,C aqifer,11/10/2018,Winter,-12.8991259,-96.6797819,6.5132253
Castle,Wood,C aqifer,12/15/2018,Winter,-13.46721407,-97.92709168,9.81062088
North Canyon,Wood,C aqifer,11/11/2017,Winter,-13.59436338,-96.78613345,11.96877359
North Canyon,Wood,C aqifer,12/19/2017,Winter,-13.52338172,-97.12577944,11.06127432
North Canyon,Wood,C aqifer,6/28/2018,Summer,-13.42491748,-96.80623733,10.59310251
North Canyon,Wood,C aqifer,8/6/2018,Autumn,-14.35826587,-98.1391909,16.72693606
North Canyon,Wood,C aqifer,9/1/2018,Autumn,-13.19913744,-96.76571604,8.82738348
North Canyon,Wood,C aqifer,9/2/2018,Autumn,-13.96066198,-96.2253549,15.45994094
North Canyon,Wood,C aqifer,10/6/2018,Autumn,-13.79923238,-97.14525561,13.24860343
North Canyon,Wood,C aqifer,10/14/2018,Autumn,-14.56586185,-97.66497401,18.86192079
North Canyon,Wood,C aqifer,11/11/2018,Winter,-14.00239191,-97.45396958,14.5651657
North Canyon,Wood,C aqifer,12/16/2018,Winter,-13.80141028,-97.17015079,13.24113145
Quaking Aspen,Wood,C aqifer,5/24/2018,Summer,-13.58035675,-93.5696019,15.0732521
Quaking Aspen,Wood,C aqifer,6/26/2018,Summer,-12.98501788,-93.16294822,10.71719482
Quaking Aspen,Wood,C aqifer,7/13/2018,Summer,-13.1917912,-92.67366118,12.86066842
Quaking Aspen,Wood,C aqifer,8/5/2018,Autumn,-12.65764853,-93.05992199,8.20126625
Quaking Aspen,Wood,C aqifer,9/1/2018,Autumn,-13.07992908,-93.58936838,11.05006426
Quaking Aspen,Wood,C aqifer,10/13/2018,Autumn,-12.81036778,-92.77918217,9.70376007
Quaking Aspen,Wood,C aqifer,11/11/2018,Winter,-12.84155121,-92.36583986,10.36656982
Watts,Wood,C aqifer,5/24/2018,Summer,-12.83769133,-93.72529855,8.97623209
Watts,Wood,C aqifer,6/26/2018,Summer,-12.87581318,-93.16137356,9.84513188
Watts,Wood,C aqifer,7/13/2018,Summer,-13.06398808,-92.56065441,11.95125023
