Site,Source,Date,Season,O18,D,D_EX,Discharge
Big,C aqifer,11/12/2017,Winter,-13.44418864,-97.19035536,10.36315376,0.009251114
Big,C aqifer,12/18/2017,Winter,-13.60828825,-97.40358395,11.46272205,0.009061391
Big,C aqifer,3/16/2018,Spring,-13.47322568,-96.91775239,10.86805305,0.007665435
Big,C aqifer,4/7/2018,Spring,-13.30734749,-97.97955005,8.47922987,0.007499848
Big,C aqifer,4/7/2018,Spring,-13.30734749,-97.97955005,8.47922987,0.007499848
Big,C aqifer,4/19/2018,Spring,-14.11841903,-97.84439484,15.1029574,0.008806539
Big,C aqifer,5/25/2018,Summer,-12.95363826,-97.68717525,5.94193083,0.006576918
Big,C aqifer,6/25/2018,Summer,-13.30934361,-95.39963843,11.07511045,0.00535478
Big,C aqifer,7/12/2018,Summer,-13.72476837,-97.98358501,11.81456195,0.009690654
Big,C aqifer,7/12/2018,Summer,-13.72476837,-97.98358501,11.81456195,0.009690654
Big,C aqifer,7/13/2018,Summer,-13.50515133,-97.39101945,10.65019119,0.010646471
Big,C aqifer,7/14/2018,Summer,-13.58420731,-97.02749851,11.64615997,0.012381451
Big,C aqifer,7/14/2018,Summer,-13.58420731,-97.02749851,11.64615997,0.012381451
Big,C aqifer,8/4/2018,Autumn,-13.15600886,-99.7457801,5.50229078,0.006783458
Big,C aqifer,8/5/2018,Autumn,-13.55120878,-98.82949732,9.58017292,0.007222566
Big,C aqifer,8/31/2018,Autumn,-13.51643552,-97.34169338,10.78979078,0.006351921
Big,C aqifer,9/1/2018,Autumn,-13.2433363,-97.81435429,8.13233611,0.005935526
Big,C aqifer,9/2/2018,Autumn,-12.96919652,-97.13539239,6.61817977,0.006783458
Big,C aqifer,10/7/2018,Autumn,-13.64011166,-97.61703216,11.50386112,0.005167087
Big,C aqifer,10/13/2018,Autumn,-14.30650554,-98.05582681,16.39621751,0.005520392
Big,C aqifer,10/14/2018,Autumn,-13.96888476,-97.6702132,14.08086488,0.006182839
Big,C aqifer,11/9/2018,Winter,-13.62338177,-97.67832018,11.30873398,0.006921626
Big,C aqifer,11/12/2018,Winter,-14.03266503,-97.87096657,14.39035367,0.007911511
Big,C aqifer,12/15/2018,Winter,-14.38179612,-98.26494193,16.78942703,0.008271125
Big,C aqifer,12/16/2018,Winter,-13.90248875,-97.72575803,13.49415197,0.009794753
Mangum,C aqifer,12/18/2017,Winter,-13.64254077,-98.2331155,10.90721066,0.000622971
Mangum,C aqifer,4/7/2018,Spring,-13.35963548,-97.18088565,9.69619819,0.000609451
Mangum,C aqifer,4/7/2018,Spring,-13.29966305,-95.66226135,10.73504305,0.000609451
Mangum,C aqifer,4/19/2018,Spring,-12.89730946,-94.55395611,8.62451957,0.00121904
Mangum,C aqifer,5/25/2018,Summer,-12.86093572,-95.91365573,6.97383003,0.002081288
Mangum,C aqifer,6/25/2018,Summer,-12.69457994,-93.443021,8.11361852,0.000287293
Mangum,C aqifer,7/14/2018,Summer,-12.94348896,-94.68853659,8.85937509,0.000430591
Mangum,C aqifer,8/4/2018,Autumn,-13.14138478,-94.52397274,10.6071055,0.000482924
Mangum,C aqifer,9/1/2018,Autumn,-13.11011175,-93.63486344,11.24603056,
Mangum,C aqifer,10/14/2018,Autumn,-13.13388584,-94.16567997,10.90540675,0.000436079
Mangum,C aqifer,11/9/2018,Winter,-13.193832,-94.18522799,11.36542801,0.000383084
Mangum,C aqifer,12/15/2018,Winter,-13.08181282,-95.57706105,9.07744151,0.00038157
Nail,C aqifer,4/7/2018,Spring,-13.29966305,-95.66226135,10.73504305,7.48148E-05
Nail,C aqifer,5/25/2018,Summer,-12.86093572,-95.91365573,6.97383003,
Nail,C aqifer,6/26/2018,Summer,-12.89475725,-95.55128815,7.60676985,6.97615E-05
Nail,C aqifer,8/5/2018,Autumn,-13.0842984,-95.68818732,8.98619988,6.53179E-05
Nail,C aqifer,8/31/2018,Autumn,-13.30162045,-95.4410332,10.9719304,7.29117E-05
Nail,C aqifer,10/14/2018,Autumn,-14.31399258,-95.87621641,18.63572423,5.35857E-05
Nail,C aqifer,11/9/2018,Winter,-13.67860552,-95.44887279,13.97997137,6.51524E-05
Nail,C aqifer,12/15/2018,Winter,-12.89344676,-94.99705019,8.15052389,
Robbers Roost,C aqifer,9/24/2017,Autumn,-13.19996144,-92.00384575,13.59584577,5.99989E-05
Robbers Roost,C aqifer,11/14/2017,Winter,-13.44202825,-91.54445148,15.99177452,0
Robbers Roost,C aqifer,8/6/2018,Autumn,-12.24477032,-84.30865248,13.64951008,1.68382E-05
Robbers Roost,C aqifer,9/2/2018,Autumn,-12.72709269,-87.0915592,14.72518232,8.25674E-05
Robbers Roost,C aqifer,10/14/2018,Autumn,-13.21424459,-91.59371455,14.12024217,0.000130917
Robbers Roost,C aqifer,11/9/2018,Winter,-12.22093428,-88.08242623,9.68504801,0.000105459
Robbers Roost,C aqifer,11/11/2018,Winter,-13.2308088,-89.29834844,16.54812196,0.000205962
Robbers Roost,C aqifer,12/15/2018,Winter,-12.64844521,-90.7809191,10.40664258,4.56364E-06
Castle,C aqifer,11/12/2017,Winter,-13.39701534,-96.52719962,10.6489231,0.000110224
Castle,C aqifer,12/18/2017,Winter,-13.479375,-96.90904535,10.92595465,0.000111703
Castle,C aqifer,4/8/2018,Spring,-13.168492,-96.76305339,8.58488261,0.000107076
Castle,C aqifer,5/25/2018,Summer,-12.95724331,-97.49907109,6.15887539,0.000113207
Castle,C aqifer,6/25/2018,Summer,-13.45226176,-96.53517572,11.08291836,0.000120481
